crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,mean,std,count
0.6,1,0.9,0.4,-80075.47088904031,744.8866559265351,2
0.4,5,0.6,0.2,-80082.50956568605,393.0910521370641,2
0.5,5,0.7,0.1,-80090.28597820218,510.843512015227,2
0.4,5,0.9,0.3,-80114.85461527742,1789.2087278265108,2
0.2,5,0.6,0.4,-80134.99483686945,3808.3082281020493,2
0.3,3,0.9,0.3,-80135.66250147254,1.7750439435931564,2
0.5,4,0.7,0.1,-80158.19381443775,886.0619854959131,2
0.2,2,0.6,0.4,-80159.2458694297,420.65677083299784,2
0.2,1,1.0,0.5,-80165.82749207891,1458.8756785854744,2
0.6,4,1.0,0.1,-80171.0245871959,940.0864425538093,2
0.2,3,0.6,0.3,-80172.99751022781,742.960753072953,2
0.5,1,1.0,0.2,-80174.26934862696,984.917123183851,2
0.5,2,0.6,0.2,-80189.15735219463,1063.3858814146915,2
0.3,1,0.8,0.3,-80189.53120409428,925.3075359743846,2
0.5,4,0.6,0.2,-80191.04957208781,3293.8517877729037,2
0.6,3,0.6,0.2,-80226.53714925694,1504.5998839526105,2
0.3,2,0.8,0.4,-80232.51522210176,4107.539513419641,2
0.2,4,0.8,0.5,-80233.37566445139,2638.4182392711023,2
0.2,4,1.0,0.5,-80233.81733478134,1096.3137110982914,2
0.3,1,0.7,0.2,-80233.98949686959,46.708057440534226,2
0.5,4,0.7,0.2,-80239.43289333486,3257.9945567142695,2
0.5,2,1.0,0.4,-80261.44978845354,2889.7943398213833,2
0.3,5,0.8,0.5,-80275.87938519391,217.75572600647507,2
0.3,1,0.8,0.5,-80279.29743307913,1958.7027240649911,2
0.5,2,0.8,0.1,-80283.11547379164,1612.580852264537,2
0.3,1,0.6,0.5,-80285.06099667108,1934.3921172705657,2
0.5,3,0.9,0.5,-80300.62344027634,276.70850474040475,2
0.3,3,0.8,0.3,-80302.99958372462,730.059715360199,2
0.3,5,0.9,0.4,-80309.41701978724,1268.0740998400997,2
0.5,5,0.8,0.1,-80311.58519209473,2024.1943912374938,2
0.5,1,0.6,0.3,-80312.95356389432,1652.3312976946577,2
0.2,5,0.8,0.4,-80312.99825083779,3144.235947585082,2
0.5,2,0.7,0.4,-80314.31735818315,2024.50374299584,2
0.4,3,0.6,0.1,-80320.14493517784,2644.019785455521,2
0.6,2,0.9,0.4,-80354.04023673807,1972.4793024514208,2
0.2,4,0.8,0.4,-80365.39857570938,4117.733719677847,2
0.6,1,0.8,0.5,-80371.09567726101,465.09889963839277,2
0.3,2,0.9,0.3,-80371.42425873505,2595.725463194291,2
0.2,1,0.6,0.2,-80374.01085458352,880.7353971497279,2
0.4,4,0.7,0.1,-80377.58240297029,3172.949654281608,2
0.4,1,0.7,0.3,-80436.95333760424,236.05579476099152,2
0.5,1,0.7,0.5,-80442.19256717151,2120.426355168705,2
0.2,5,0.7,0.3,-80461.00218607004,2790.6802680432634,2
0.3,1,0.8,0.2,-80473.48435836605,1418.7660684807659,2
0.4,1,1.0,0.5,-80476.62072380313,147.43501586751668,2
0.6,1,1.0,0.2,-80482.81885008104,479.2528031629379,2
0.5,5,0.8,0.5,-80485.00057289859,3758.9624316437685,2
0.2,5,0.9,0.5,-80509.55691808929,401.15684656577116,2
0.6,2,0.6,0.2,-80523.45341527858,2143.841729694614,2
0.3,5,0.9,0.5,-80528.36444814393,200.9722112457467,2
0.2,4,1.0,0.4,-80530.85580225056,3629.1616965336298,2
0.2,4,0.6,0.2,-80544.63207188324,1684.7279001816173,2
0.3,5,1.0,0.2,-80548.63275165048,1238.6774534440656,2
0.3,2,1.0,0.4,-80549.72326476747,1093.1098856808435,2
0.6,1,0.6,0.3,-80550.4693721552,339.8850300372439,2
0.6,5,0.7,0.1,-80559.73868191366,2560.8117054828504,2
0.2,3,0.9,0.5,-80563.30070900972,823.646264441899,2
0.5,3,0.7,0.2,-80572.4561654731,420.74629427554186,2
0.5,2,0.6,0.1,-80589.78157709015,3473.214255978631,2
0.3,4,0.8,0.5,-80597.60935530666,2388.060222015148,2
0.5,3,0.7,0.1,-80609.38271005367,5161.307601987323,2
0.6,3,1.0,0.4,-80611.16549254168,7918.390951998415,2
0.4,5,0.8,0.3,-80613.64098679654,1402.7735171046759,2
0.4,2,0.9,0.2,-80616.42553687113,132.4850215350129,2
0.5,2,1.0,0.3,-80626.06658352166,683.4404087269021,2
0.4,4,0.9,0.3,-80651.54810447531,894.9797075758006,2
0.3,2,0.8,0.3,-80653.79097517137,1539.1119874001615,2
0.4,3,0.8,0.1,-80655.10733160473,3315.8924349424997,2
0.3,2,0.8,0.5,-80665.48238822233,2949.2564955928233,2
0.3,1,0.6,0.1,-80690.03017260696,2805.8463136181977,2
0.5,1,1.0,0.3,-80703.28827909325,1787.3399399968441,2
0.4,4,0.8,0.3,-80709.44234640762,2247.8332939188763,2
0.2,4,0.6,0.5,-80724.97592270622,103.25336056114037,2
0.4,2,0.6,0.3,-80753.9016104443,3993.4061419834316,2
0.2,4,0.9,0.2,-80759.40512945045,797.8890073977341,2
0.2,3,1.0,0.5,-80765.27506139525,3066.7169953592356,2
0.4,4,0.7,0.2,-80768.25292730512,710.7133361124601,2
0.4,3,0.7,0.4,-80768.31744897187,90.17759262435824,2
0.4,4,0.8,0.4,-80773.0122625485,274.61139020110534,2
0.3,2,1.0,0.5,-80777.72182339069,221.5617937978845,2
0.6,2,0.6,0.3,-80781.78898272684,923.0230012708973,2
0.6,3,0.8,0.4,-80805.51328149237,619.6555400028685,2
0.6,4,0.6,0.1,-80812.08903017287,1442.5500903718528,2
0.5,1,0.6,0.1,-80816.05003327134,297.4252206895005,2
0.6,3,1.0,0.5,-80826.86982399176,5326.950598228541,2
0.4,5,0.8,0.2,-80827.07340492576,559.2541138391638,2
0.6,3,0.8,0.3,-80827.2928136608,1699.811984774788,2
0.3,1,0.6,0.4,-80835.56375365084,1835.7033212303081,2
0.5,1,0.6,0.2,-80840.86332173672,2100.718652856613,2
0.5,3,0.9,0.4,-80850.57665431409,2417.1250156121764,2
0.3,5,0.8,0.1,-80877.34626628301,830.2259541831631,2
0.5,2,0.8,0.3,-80912.10606026484,2079.439563203765,2
0.4,3,0.9,0.4,-80925.67138411716,529.7096965444757,2
0.4,2,0.7,0.3,-80942.85696023828,121.15210228320213,2
0.3,3,1.0,0.3,-80953.15975802287,427.37284098468973,2
0.4,3,0.6,0.3,-80960.87752345987,1680.1140742987989,2
0.5,5,0.9,0.4,-80962.98278403126,3110.1848194335544,2
0.4,1,0.6,0.2,-80975.10630623897,1868.4780614023198,2
0.4,5,1.0,0.3,-80980.50202515995,3510.787983619803,2
0.2,4,0.8,0.2,-80982.89396530384,5852.5148410778265,2
0.5,5,0.7,0.2,-80995.96929382067,2194.9498661218704,2
0.5,1,0.7,0.3,-81018.99930328463,1475.9301744693405,2
0.6,4,1.0,0.3,-81059.99295394433,280.52414000941263,2
0.6,3,0.6,0.3,-81061.1974082675,1152.1041530553182,2
0.5,5,1.0,0.3,-81062.87851869316,680.4468135574218,2
0.4,1,0.8,0.4,-81063.4763810969,1562.293198088643,2
0.5,1,0.7,0.4,-81063.67050848127,642.7556223473736,2
0.2,1,0.9,0.5,-81070.83713564168,490.6169378715942,2
0.6,5,0.9,0.2,-81071.36709800528,2168.469922946855,2
0.2,3,0.7,0.3,-81072.17128031635,2.8452675095272935,2
0.5,2,1.0,0.5,-81075.04662531674,1666.3349245807572,2
0.4,5,0.8,0.1,-81082.62305486028,1555.7157464616437,2
0.4,3,0.6,0.4,-81093.82210887613,2327.8593330479634,2
0.2,5,0.7,0.2,-81108.36141266284,1296.7638387532147,2
0.6,1,0.6,0.2,-81115.22976171185,1245.075235056537,2
0.4,4,0.7,0.5,-81116.03840342953,801.661724345909,2
0.6,5,0.9,0.4,-81119.40669788662,2568.76667718807,2
0.2,4,0.7,0.5,-81156.68326616651,3994.789316422565,2
