i,family,syn_cutoff,target_mi,pair_probs,num_vars
488,small-world,0.4,0.6339850002884625,0.4,10
489,small-world,0.4,0.6339850002884625,0.5,10
490,small-world,0.4,0.6339850002884625,0.6,10
491,small-world,0.4,0.6339850002884625,0.7,10
492,small-world,0.4,0.792481250360578,0.4,10
493,small-world,0.4,0.792481250360578,0.5,10
494,small-world,0.4,0.792481250360578,0.6,10
495,small-world,0.4,0.792481250360578,0.7,10
496,small-world,0.4,0.9509775004326936,0.4,10
497,small-world,0.4,0.9509775004326936,0.5,10
498,small-world,0.4,0.9509775004326936,0.6,10
499,small-world,0.4,0.9509775004326936,0.7,10
500,small-world,0.5,0.31699250014423125,0.4,10
501,small-world,0.5,0.31699250014423125,0.5,10
502,small-world,0.5,0.31699250014423125,0.6,10
503,small-world,0.5,0.31699250014423125,0.7,10
504,small-world,0.5,0.4754887502163468,0.4,10
505,small-world,0.5,0.4754887502163468,0.5,10
506,small-world,0.5,0.4754887502163468,0.6,10
507,small-world,0.5,0.4754887502163468,0.7,10
508,small-world,0.5,0.6339850002884625,0.4,10
509,small-world,0.5,0.6339850002884625,0.5,10
510,small-world,0.5,0.6339850002884625,0.6,10
511,small-world,0.5,0.6339850002884625,0.7,10
512,small-world,0.5,0.792481250360578,0.4,10
513,small-world,0.5,0.792481250360578,0.5,10
514,small-world,0.5,0.792481250360578,0.6,10
515,small-world,0.5,0.792481250360578,0.7,10
516,small-world,0.5,0.9509775004326936,0.4,10
517,small-world,0.5,0.9509775004326936,0.5,10
518,small-world,0.5,0.9509775004326936,0.6,10
519,small-world,0.5,0.9509775004326936,0.7,10
520,small-world,0.6,0.31699250014423125,0.4,10
521,small-world,0.6,0.31699250014423125,0.5,10
522,small-world,0.6,0.31699250014423125,0.6,10
523,small-world,0.6,0.31699250014423125,0.7,10
524,small-world,0.6,0.4754887502163468,0.4,10
525,small-world,0.6,0.4754887502163468,0.5,10
526,small-world,0.6,0.4754887502163468,0.6,10
527,small-world,0.6,0.4754887502163468,0.7,10
528,small-world,0.6,0.6339850002884625,0.4,10
529,small-world,0.6,0.6339850002884625,0.5,10
530,small-world,0.6,0.6339850002884625,0.6,10
531,small-world,0.6,0.6339850002884625,0.7,10
532,small-world,0.6,0.792481250360578,0.4,10
533,small-world,0.6,0.792481250360578,0.5,10
534,small-world,0.6,0.792481250360578,0.6,10
535,small-world,0.6,0.792481250360578,0.7,10
536,small-world,0.6,0.9509775004326936,0.4,10
537,small-world,0.6,0.9509775004326936,0.5,10
538,small-world,0.6,0.9509775004326936,0.6,10
539,small-world,0.6,0.9509775004326936,0.7,10
540,small-world,0.7,0.31699250014423125,0.4,10
541,small-world,0.7,0.31699250014423125,0.5,10
542,small-world,0.7,0.31699250014423125,0.6,10
543,small-world,0.7,0.31699250014423125,0.7,10
544,small-world,0.7,0.4754887502163468,0.4,10
545,small-world,0.7,0.4754887502163468,0.5,10
546,small-world,0.7,0.4754887502163468,0.6,10
547,small-world,0.7,0.4754887502163468,0.7,10
548,small-world,0.7,0.6339850002884625,0.4,10
549,small-world,0.7,0.6339850002884625,0.5,10
550,small-world,0.7,0.6339850002884625,0.6,10
551,small-world,0.7,0.6339850002884625,0.7,10
552,small-world,0.7,0.792481250360578,0.4,10
553,small-world,0.7,0.792481250360578,0.5,10
554,small-world,0.7,0.792481250360578,0.6,10
555,small-world,0.7,0.792481250360578,0.7,10
556,small-world,0.7,0.9509775004326936,0.4,10
557,small-world,0.7,0.9509775004326936,0.5,10
558,small-world,0.7,0.9509775004326936,0.6,10
559,small-world,0.7,0.9509775004326936,0.7,10
560,small-world,0.4,0.31699250014423125,0.4,20
561,small-world,0.4,0.31699250014423125,0.5,20
562,small-world,0.4,0.31699250014423125,0.6,20
563,small-world,0.4,0.31699250014423125,0.7,20
564,small-world,0.4,0.4754887502163468,0.4,20
565,small-world,0.4,0.4754887502163468,0.5,20
566,small-world,0.4,0.4754887502163468,0.6,20
567,small-world,0.4,0.4754887502163468,0.7,20
568,small-world,0.4,0.6339850002884625,0.4,20
569,small-world,0.4,0.6339850002884625,0.5,20
570,small-world,0.4,0.6339850002884625,0.6,20
571,small-world,0.4,0.6339850002884625,0.7,20
572,small-world,0.4,0.792481250360578,0.4,20
573,small-world,0.4,0.792481250360578,0.5,20
574,small-world,0.4,0.792481250360578,0.6,20
575,small-world,0.4,0.792481250360578,0.7,20
576,small-world,0.4,0.9509775004326936,0.4,20
577,small-world,0.4,0.9509775004326936,0.5,20
578,small-world,0.4,0.9509775004326936,0.6,20
579,small-world,0.4,0.9509775004326936,0.7,20
580,small-world,0.5,0.31699250014423125,0.4,20
581,small-world,0.5,0.31699250014423125,0.5,20
582,small-world,0.5,0.31699250014423125,0.6,20
