i,total_vars,dag_family,p_syn,p_noise,samples
749,30,small-world,0.0,0.5,10000
750,30,small-world,0.5,0.0,500
751,30,small-world,0.5,0.0,1000
752,30,small-world,0.5,0.0,2000
753,30,small-world,0.5,0.0,5000
754,30,small-world,0.5,0.0,10000
755,30,small-world,0.5,0.1,500
756,30,small-world,0.5,0.1,1000
757,30,small-world,0.5,0.1,2000
758,30,small-world,0.5,0.1,5000
759,30,small-world,0.5,0.1,10000
760,30,small-world,0.5,0.2,500
761,30,small-world,0.5,0.2,1000
762,30,small-world,0.5,0.2,2000
763,30,small-world,0.5,0.2,5000
764,30,small-world,0.5,0.2,10000
765,30,small-world,0.5,0.3,500
766,30,small-world,0.5,0.3,1000
767,30,small-world,0.5,0.3,2000
768,30,small-world,0.5,0.3,5000
769,30,small-world,0.5,0.3,10000
770,30,small-world,0.5,0.4,500
771,30,small-world,0.5,0.4,1000
772,30,small-world,0.5,0.4,2000
773,30,small-world,0.5,0.4,5000
774,30,small-world,0.5,0.4,10000
775,30,small-world,0.5,0.5,500
776,30,small-world,0.5,0.5,1000
777,30,small-world,0.5,0.5,2000
778,30,small-world,0.5,0.5,5000
